Correlation Table - 50 periods
https://www.mataf.net
Fri, 16 Jan 2026 16:25:36 +0000
pair1,pair2,5min,15min,1h,4h,day,week
AUDCHF,EURNZD,-72.4,-68.3,-79.1,-61.2,-77.4,0
AUDCHF,EURCAD,-41.7,-66.9,-86,-51.1,-64.3,0
AUDCHF,USDCHF,0.8,32.8,91.4,49.1,-0.2,0
AUDCHF,USDCAD,-75.9,-76.9,31.3,16.5,-47.3,0
NZDCAD,EURUSD,64.9,53.4,-40.4,10.3,12.3,0
NZDCAD,NZDUSD,68.5,74.5,88,62.5,51.4,0
NZDCAD,GBPUSD,71.6,78,-32.4,20.6,24.6,0
NZDCAD,AUDUSD,54.6,31.4,58.8,46.7,30.2,0
NZDCAD,CADJPY,19.8,-31.1,-77.1,2.8,-3.1,0
NZDCAD,NZDJPY,49.6,19.2,36.3,42.3,37.9,0
NZDCAD,EURJPY,57.2,-9.8,-76.6,7.8,-1.3,0
NZDCAD,CHFJPY,53.4,-5.5,-70,16.9,-18.5,0
NZDCAD,GBPJPY,56,26.2,-67.9,13.9,11.9,0
NZDCAD,AUDJPY,42.7,-0,1.8,32.1,18.3,0
NZDCAD,CADCHF,-26,-43.3,16.2,-33.6,22.4,0
NZDCAD,NZDCHF,26,33.2,75.5,59.4,74.3,0
NZDCAD,GBPCHF,36.1,58.1,-23.4,-5.2,45.1,0
NZDCAD,AUDCHF,28.6,2.1,46.1,31.1,45.3,0
NZDCAD,NZDCAD,100,100,100,100,100,0
NZDCAD,AUDCAD,66.8,42.9,64.2,72.5,46.7,0
NZDCAD,EURCHF,51.3,-15.8,-23.9,-36.1,43,0
NZDCAD,AUDNZD,24.2,-27.4,-21,-40.5,-29.1,0
NZDCAD,GBPCAD,61.3,71.6,-23.9,37.1,42.3,0
NZDCAD,USDJPY,-5.5,-48.8,-65.3,2.1,-13.5,0
NZDCAD,GBPNZD,-4.2,-0.7,-74.9,-69.5,-61.3,0
NZDCAD,GBPAUD,-18.7,17.4,-49.7,-36.6,-31.4,0
NZDCAD,EURAUD,-19.4,-7.7,-55.8,-49.9,-34.3,0
NZDCAD,EURGBP,-1.9,-61.9,3.4,-30.6,-29.9,0
NZDCAD,EURNZD,-5.2,-54.6,-84.7,-72.9,-77.5,0
NZDCAD,EURCAD,58.4,51.6,-31.6,15.4,5.8,0
NZDCAD,USDCHF,-54.4,-58.9,26.6,-19.6,10.4,0
NZDCAD,USDCAD,-34.4,-8.6,24.3,-0.7,-6.3,0
AUDCAD,EURUSD,73.5,43.7,-75.4,3.7,6.3,0
AUDCAD,NZDUSD,89,78.1,43.4,38.7,34.2,0
AUDCAD,GBPUSD,82.6,42.4,-71.2,3.9,50.6,0
AUDCAD,AUDUSD,95.2,95.7,92.6,57.2,66.5,0
AUDCAD,CADJPY,73.9,60.9,-23,-8.9,42.3,0
AUDCAD,NZDJPY,86.8,84.9,62.9,20.7,58.3,0
AUDCAD,EURJPY,91.4,66,-58.4,-2.3,46.6,0
AUDCAD,CHFJPY,83.6,56.2,-70,-0.4,39.6,0
AUDCAD,GBPJPY,90.8,79.3,-61.9,-1.7,65.1,0
AUDCAD,AUDJPY,91,86,72,31.9,75,0
AUDCAD,CADCHF,22.2,45.8,67.8,-20.4,22.5,0
AUDCAD,NZDCHF,57.1,81.7,87.1,46.6,43,0
AUDCAD,GBPCHF,61.5,66.1,-2.8,-6.2,69.7,0
AUDCAD,AUDCHF,80.3,86.9,93,63.2,82,0
AUDCAD,NZDCAD,66.8,42.9,64.2,72.5,46.7,0
AUDCAD,AUDCAD,100,100,100,100,100,0
AUDCAD,EURCHF,86.7,59.9,38.2,-9.1,9.8,0
AUDCAD,AUDNZD,88.3,75.1,61.4,33.5,71,0
AUDCAD,GBPCAD,23.5,-8.6,-62.3,20.1,81,0
AUDCAD,USDJPY,35,35.5,-1.4,-3.3,53.2,0
AUDCAD,GBPNZD,-23.7,-56.3,-79.8,-55.6,24.8,0
AUDCAD,GBPAUD,-74.4,-75.3,-90.7,-72.3,-77.2,0
AUDCAD,EURAUD,-74.4,-88.6,-94.4,-70.9,-89.7,0
AUDCAD,EURGBP,-6.4,-14.5,38.8,-1.8,-82.4,0
AUDCAD,EURNZD,-26.5,-71.1,-80.3,-48.1,-53.6,0
AUDCAD,EURCAD,19.6,-26,-66.5,17.9,-24.7,0
AUDCAD,USDCHF,-50.4,-9.3,76.7,-5.6,-0.8,0
AUDCAD,USDCAD,-79.1,-73.1,43,8,-15.1,0
EURCHF,EURUSD,52.6,19.4,-30.5,-60.6,0.9,0
EURCHF,NZDUSD,81.6,33.6,-27.3,-73.7,28.4,0
EURCHF,GBPUSD,62.4,-16.6,-36.9,-67.2,9.9,0
EURCHF,AUDUSD,87.2,67.1,40.4,-60,12.8,0
EURCHF,CADJPY,82.1,77.8,50.4,36.5,11.2,0
EURCHF,NZDJPY,89.1,72.5,39,18.6,27.8,0
EURCHF,EURJPY,81.2,75.7,15.8,36.2,5.2,0
EURCHF,CHFJPY,64.4,47.6,-14,14.3,-35.3,0
EURCHF,GBPJPY,83.2,50,2.4,26.1,10.3,0
EURCHF,AUDJPY,89.9,78.2,69.8,30.8,12.4,0
EURCHF,CADCHF,54.1,78.7,66.1,52.2,75.7,0
EURCHF,NZDCHF,80.5,70.5,28.6,12.9,77.4,0
EURCHF,GBPCHF,74.4,23.3,49.4,57.5,63.5,0
EURCHF,AUDCHF,90.7,80.7,55.6,34,51.3,0
EURCHF,NZDCAD,51.3,-15.8,-23.9,-36.1,43,0
EURCHF,AUDCAD,86.7,59.9,38.2,-9.1,9.8,0
EURCHF,EURCHF,100,100,100,100,100,0
EURCHF,AUDNZD,80.6,75.1,72.8,37.1,-23.6,0
EURCHF,GBPCAD,-4.4,-63.1,-40,-18.9,1.9,0
EURCHF,USDJPY,49.4,63.2,55.4,54.9,5.9,0
EURCHF,GBPNZD,-46.3,-73.7,-13.2,20.7,-40.5,0
EURCHF,GBPAUD,-81.3,-83.1,-43.2,-5.3,-14.3,0
EURCHF,EURAUD,-83.4,-68.3,-40.1,11.7,-17.9,0
EURCHF,EURGBP,-13.1,52.5,40.5,35.7,-17.1,0
EURCHF,EURNZD,-51.9,-30.7,-3.6,33.8,-48.9,0
EURCHF,EURCAD,-10.7,-47.5,-34.9,5.2,-22.2,0
EURCHF,USDCHF,-21,35.4,59,79.1,48.6,0
EURCHF,USDCAD,-78.3,-67.2,6.2,65.9,-10.1,0
AUDNZD,EURUSD,55.6,7.8,-54.8,-9.3,-2.9,0
AUDNZD,NZDUSD,73.5,28.9,-35.7,-34.2,-3.8,0
AUDNZD,GBPUSD,63,-11.7,-57.7,-23.2,35.2,0
AUDNZD,AUDUSD,90.2,79,57.1,12,48,0
AUDNZD,CADJPY,84.5,87.5,49.1,-15.9,48.3,0
AUDNZD,NZDJPY,82.4,76.3,41.6,-30.6,33,0
AUDNZD,EURJPY,83.7,77.3,3.9,-14.1,51.5,0
AUDNZD,CHFJPY,76.1,63.9,-17.6,-23.9,57.7,0
AUDNZD,GBPJPY,83.4,65.1,-9.5,-21.6,61.1,0
AUDNZD,AUDJPY,92.1,91.5,89.3,-1.8,66.6,0
AUDNZD,CADCHF,45.3,80.3,69.4,18.8,6.5,0
AUDNZD,NZDCHF,58,62.7,33.3,-19.5,-12.6,0
AUDNZD,GBPCHF,56.9,27.7,19.9,-1.5,39.6,0
AUDNZD,AUDCHF,86.7,90.8,70.9,41.4,52.7,0
AUDNZD,NZDCAD,24.2,-27.4,-21,-40.5,-29.1,0
AUDNZD,AUDCAD,88.3,75.1,61.4,33.5,71,0
AUDNZD,EURCHF,80.6,75.1,72.8,37.1,-23.6,0
AUDNZD,AUDNZD,100,100,100,100,100,0
AUDNZD,GBPCAD,-8.4,-61.4,-54.7,-24.2,54,0
AUDNZD,USDJPY,48.9,73.2,65,-7.5,68.4,0
AUDNZD,GBPNZD,-28.8,-59.4,-24.6,21.1,75.6,0
AUDNZD,GBPAUD,-85.6,-92.9,-64.5,-46.1,-58.4,0
AUDNZD,EURAUD,-84.9,-88.7,-62.9,-25.9,-69.8,0
AUDNZD,EURGBP,-6.6,29.8,46.3,39.8,-65.4,0
AUDNZD,EURNZD,-31.2,-35.8,-15.1,35.9,3.7,0
AUDNZD,EURCAD,-11.3,-65.3,-52,2.8,-31.4,0
AUDNZD,USDCHF,-32.3,32.8,70.4,19.4,-9.2,0
AUDNZD,USDCAD,-82.3,-71.7,30.7,11.6,-11.4,0
GBPCAD,EURUSD,44.2,39.1,85.4,45.4,-8.4,0
GBPCAD,NZDUSD,13.2,25.4,-17.4,19.4,10.1,0
GBPCAD,GBPUSD,56.4,75.6,93.6,50.5,35,0
GBPCAD,AUDUSD,5.3,-20.6,-63.2,9,36.7,0
GBPCAD,CADJPY,-34.7,-72.2,1.5,24.8,18.8,0
GBPCAD,NZDJPY,-11.2,-38,-34.2,37.3,34.7,0
GBPCAD,EURJPY,15.7,-46.7,60.6,49.9,31.7,0
GBPCAD,CHFJPY,22.6,-29.4,72.6,57.6,28.8,0
GBPCAD,GBPJPY,21.7,-5,76.3,52.3,51,0
GBPCAD,AUDJPY,-10.9,-50.6,-54.3,31.7,49.5,0
GBPCAD,CADCHF,-74,-85.7,-92,-77,-7.2,0
GBPCAD,NZDCHF,-42.2,-33.7,-76.6,-33,20,0
GBPCAD,GBPCHF,12.1,34.7,43.9,6.9,57.2,0
GBPCAD,AUDCHF,-29.8,-53.1,-82.9,-45.1,51.5,0
GBPCAD,NZDCAD,61.3,71.6,-23.9,37.1,42.3,0
GBPCAD,AUDCAD,23.5,-8.6,-62.3,20.1,81,0
GBPCAD,EURCHF,-4.4,-63.1,-40,-18.9,1.9,0
GBPCAD,AUDNZD,-8.4,-61.4,-54.7,-24.2,54,0
GBPCAD,GBPCAD,100,100,100,100,100,0
GBPCAD,USDJPY,-40.1,-76.2,-6.4,20.9,48.6,0
GBPCAD,GBPNZD,76.3,69.3,82.3,41,45.6,0
GBPCAD,GBPAUD,47.4,72,89.4,53.1,-25.3,0
GBPCAD,EURAUD,37.8,45.8,82.8,38.6,-58,0
GBPCAD,EURGBP,-20.1,-76,-83.3,-27.1,-71.6,0
GBPCAD,EURNZD,57.7,5,69.8,22.7,-26.6,0
GBPCAD,EURCAD,85.5,81.6,95.8,77.4,12.3,0
GBPCAD,USDCHF,-52.4,-70.8,-85.5,-41.1,8.2,0
GBPCAD,USDCAD,15.7,35.9,-11.4,4.9,10.7,0
USDJPY,EURUSD,-24.2,-33.5,-6.9,-61.9,-16,0
USDJPY,NZDUSD,15.5,-10.2,-74.6,-54.3,-5,0
USDJPY,GBPUSD,-8,-51.6,-10.7,-50.2,23.5,0
USDJPY,AUDUSD,31.2,37.8,-8.1,-60.9,30.8,0
USDJPY,CADJPY,75.8,89.3,88.3,92.5,58.2,0
USDJPY,NZDJPY,65.4,67.2,32.3,84.7,48.6,0
USDJPY,EURJPY,41.5,74.1,65,91,66.1,0
USDJPY,CHFJPY,33.5,65.6,48.7,83.4,59.5,0
USDJPY,GBPJPY,55.7,53.3,52.2,87.7,67.9,0
USDJPY,AUDJPY,62.3,73.9,61.8,86.6,66.1,0
USDJPY,CADCHF,76.4,81.3,21.5,21.2,23.3,0
USDJPY,NZDCHF,74.2,46.8,-27.8,20.1,8,0
USDJPY,GBPCHF,64.5,3,33.4,59.7,49.9,0
USDJPY,AUDCHF,69.8,67.1,9.9,14.2,50.3,0
USDJPY,NZDCAD,-5.5,-48.8,-65.3,2.1,-13.5,0
USDJPY,AUDCAD,35,35.5,-1.4,-3.3,53.2,0
USDJPY,EURCHF,49.4,63.2,55.4,54.9,5.9,0
USDJPY,AUDNZD,48.9,73.2,65,-7.5,68.4,0
USDJPY,GBPCAD,-40.1,-76.2,-6.4,20.9,48.6,0
USDJPY,USDJPY,100,100,100,100,100,0
USDJPY,GBPNZD,-44.6,-58.2,34,14.1,55.7,0
USDJPY,GBPAUD,-58.6,-74.7,-2.5,17.8,-35,0
USDJPY,EURAUD,-74.3,-63,0.8,11.1,-55,0
USDJPY,EURGBP,-48.8,43.4,15.9,-12.3,-59.8,0
USDJPY,EURNZD,-74.1,-22.2,43.6,6.3,-7.8,0
USDJPY,EURCAD,-63.9,-74.7,-0.6,11.5,-29.7,0
USDJPY,USDCHF,47.4,65.5,24.1,65.3,17,0
USDJPY,USDCAD,-23.5,-35.6,20.4,71.1,-1.7,0
GBPNZD,EURUSD,2.4,0.1,81.6,24.9,-19.6,0
GBPNZD,NZDUSD,-39.3,-40.7,-63.8,-46.6,-41.8,0
GBPNZD,GBPUSD,12.9,27.6,82.6,18.6,6.2,0
GBPNZD,AUDUSD,-37.2,-61.8,-77.5,-39,2.2,0
GBPNZD,CADJPY,-59.1,-71,46,16.3,19.3,0
GBPNZD,NZDJPY,-53.8,-73.8,-44.9,-12.8,-7,0
GBPNZD,EURJPY,-26.2,-56.9,86,30.7,28.8,0
GBPNZD,CHFJPY,-14.7,-36.6,90.3,27.9,43.2,0
GBPNZD,GBPJPY,-17.3,-33.8,91.7,26.7,32.7,0
GBPNZD,AUDJPY,-47.6,-72.2,-37.9,-7.1,25.1,0
GBPNZD,CADCHF,-71.3,-77.2,-72.2,-26.7,-28.3,0
GBPNZD,NZDCHF,-73.7,-81.7,-96.4,-83.9,-55.6,0
GBPNZD,GBPCHF,-12.7,-9,43.8,10.4,5.6,0
GBPNZD,AUDCHF,-59.6,-77.7,-83.3,-65.5,0.4,0
GBPNZD,NZDCAD,-4.2,-0.7,-74.9,-69.5,-61.3,0
GBPNZD,AUDCAD,-23.7,-56.3,-79.8,-55.6,24.8,0
GBPNZD,EURCHF,-46.3,-73.7,-13.2,20.7,-40.5,0
GBPNZD,AUDNZD,-28.8,-59.4,-24.6,21.1,75.6,0
GBPNZD,GBPCAD,76.3,69.3,82.3,41,45.6,0
GBPNZD,USDJPY,-44.6,-58.2,34,14.1,55.7,0
GBPNZD,GBPNZD,100,100,100,100,100,0
GBPNZD,GBPAUD,74.1,85,89.9,77,8.9,0
GBPNZD,EURAUD,62.1,72.9,88.9,78.9,-16.8,0
GBPNZD,EURGBP,-24.9,-45.8,-58.9,9.2,-33,0
GBPNZD,EURNZD,76.5,62.7,97.2,89.2,53,0
GBPNZD,EURCAD,59.8,62.7,83.9,44.9,5.1,0
GBPNZD,USDCHF,-21,-39.5,-73.6,-12.5,-2.9,0
GBPNZD,USDCAD,48,60.4,-21.4,4.7,15.7,0
GBPAUD,EURUSD,-36.8,-4.9,89.1,28.7,-20,0
GBPAUD,NZDUSD,-71.9,-37.8,-34.3,-19.9,-46,0
GBPAUD,GBPUSD,-36.3,20.2,91.1,32.1,-45.8,0
GBPAUD,AUDUSD,-82.8,-80.3,-86.9,-43.2,-70.3,0
GBPAUD,CADJPY,-90.8,-90,14.2,25.4,-49.6,0
GBPAUD,NZDJPY,-86.3,-84.1,-54.1,8.6,-58.9,0
GBPAUD,EURJPY,-72.2,-76.7,66.1,37.3,-42.7,0
GBPAUD,CHFJPY,-60.6,-58.6,79.2,41.1,-34.2,0
GBPAUD,GBPJPY,-67.2,-58.3,76.6,38.5,-52.3,0
GBPAUD,AUDJPY,-89.9,-93.2,-70.2,-5.1,-70.3,0
GBPAUD,CADCHF,-70.4,-88.3,-88.1,-36.5,-45.1,0
GBPAUD,NZDCHF,-80.4,-78.9,-91,-63.4,-49.6,0
GBPAUD,GBPCHF,-46.7,-22.7,25.5,10.5,-53.2,0
GBPAUD,AUDCHF,-92.9,-95.4,-97.7,-86.4,-79.6,0
GBPAUD,NZDCAD,-18.7,17.4,-49.7,-36.6,-31.4,0
GBPAUD,AUDCAD,-74.4,-75.3,-90.7,-72.3,-77.2,0
GBPAUD,EURCHF,-81.3,-83.1,-43.2,-5.3,-14.3,0
GBPAUD,AUDNZD,-85.6,-92.9,-64.5,-46.1,-58.4,0
GBPAUD,GBPCAD,47.4,72,89.4,53.1,-25.3,0
GBPAUD,USDJPY,-58.6,-74.7,-2.5,17.8,-35,0
GBPAUD,GBPNZD,74.1,85,89.9,77,8.9,0
GBPAUD,GBPAUD,100,100,100,100,100,0
GBPAUD,EURAUD,93.1,91.9,98.6,88.5,85.3,0
GBPAUD,EURGBP,-8.8,-40.2,-67.1,-17.7,58.4,0
GBPAUD,EURNZD,63.2,52.7,83.6,57.5,59.9,0
GBPAUD,EURCAD,40.6,71.8,89.6,39,54.4,0
GBPAUD,USDCHF,10.4,-39.8,-89.8,-24,10.6,0
GBPAUD,USDCAD,82.8,74.8,-30.8,-3.3,37,0
EURAUD,EURUSD,-21.1,-7.9,88.4,23,-33.7,0
EURAUD,NZDUSD,-63.4,-54.5,-39.3,-41.9,-59,0
EURAUD,GBPUSD,-33.8,-5.7,86.1,9,-73.6,0
EURAUD,AUDUSD,-77.2,-88.7,-90.1,-56.8,-87.7,0
EURAUD,CADJPY,-92.7,-81.3,18.4,7.2,-72.2,0
EURAUD,NZDJPY,-88.2,-87.8,-57,-13.3,-80.9,0
EURAUD,EURJPY,-67.6,-67.5,67.8,26.2,-68.8,0
EURAUD,CHFJPY,-53.8,-54,80,25.3,-57.3,0
EURAUD,GBPJPY,-74.8,-71.7,74.3,18,-83.4,0
EURAUD,AUDJPY,-90.8,-93.8,-70.5,-21.9,-92.3,0
EURAUD,CADCHF,-80.3,-78.8,-85.2,-41.8,-54.3,0
EURAUD,NZDCHF,-90.6,-88.4,-93,-79.7,-57.5,0
EURAUD,GBPCHF,-73,-55.3,15.3,-16.2,-81.3,0
EURAUD,AUDCHF,-98.9,-98.2,-98.4,-89.4,-93.6,0
EURAUD,NZDCAD,-19.4,-7.7,-55.8,-49.9,-34.3,0
EURAUD,AUDCAD,-74.4,-88.6,-94.4,-70.9,-89.7,0
EURAUD,EURCHF,-83.4,-68.3,-40.1,11.7,-17.9,0
EURAUD,AUDNZD,-84.9,-88.7,-62.9,-25.9,-69.8,0
EURAUD,GBPCAD,37.8,45.8,82.8,38.6,-58,0
EURAUD,USDJPY,-74.3,-63,0.8,11.1,-55,0
EURAUD,GBPNZD,62.1,72.9,88.9,78.9,-16.8,0
EURAUD,GBPAUD,93.1,91.9,98.6,88.5,85.3,0
EURAUD,EURAUD,100,100,100,100,100,0
EURAUD,EURGBP,28.2,-0.9,-53.6,30.1,92.2,0
EURAUD,EURNZD,76.7,74.9,86.3,80.9,68.9,0
EURAUD,EURCAD,50.9,67.8,87.3,56.6,64.9,0
EURAUD,USDCHF,-8.4,-29.2,-88.2,-14,20.7,0
EURAUD,USDCAD,71.7,74.2,-33.2,14.3,50.7,0
EURGBP,EURUSD,40.4,-5.7,-57.3,-10.4,-37.3,0
EURGBP,NZDUSD,17.3,-30.7,-1.6,-48.2,-57.5,0
EURGBP,GBPUSD,4.9,-64.4,-77.2,-47.1,-80.3,0
EURGBP,AUDUSD,7.8,-2.1,38.9,-31.9,-84.1,0
EURGBP,CADJPY,-14.1,39.6,9.6,-36.3,-75.4,0
EURGBP,NZDJPY,-13,9.6,20.5,-45.1,-82,0
EURGBP,EURJPY,6.3,38.4,-32.6,-20.5,-75.3,0
EURGBP,CHFJPY,13.5,23.6,-44.7,-30.2,-63.6,0
EURGBP,GBPJPY,-26.2,-18.1,-56.5,-40.3,-90.8,0
EURGBP,AUDJPY,-11,18.9,41.5,-35.4,-91.4,0
EURGBP,CADCHF,-34.8,40.8,66.9,-13.7,-50.8,0
EURGBP,NZDCHF,-35.7,-5.1,46.7,-38.6,-52.5,0
EURGBP,GBPCHF,-75.8,-70.4,-59.2,-55.8,-87,0
EURGBP,AUDCHF,-25.4,14.1,56.4,-12.1,-86.5,0
EURGBP,NZDCAD,-1.9,-61.9,3.4,-30.6,-29.9,0
EURGBP,AUDCAD,-6.4,-14.5,38.8,-1.8,-82.4,0
EURGBP,EURCHF,-13.1,52.5,40.5,35.7,-17.1,0
EURGBP,AUDNZD,-6.6,29.8,46.3,39.8,-65.4,0
EURGBP,GBPCAD,-20.1,-76,-83.3,-27.1,-71.6,0
EURGBP,USDJPY,-48.8,43.4,15.9,-12.3,-59.8,0
EURGBP,GBPNZD,-24.9,-45.8,-58.9,9.2,-33,0
EURGBP,GBPAUD,-8.8,-40.2,-67.1,-17.7,58.4,0
EURGBP,EURAUD,28.2,-0.9,-53.6,30.1,92.2,0
EURGBP,EURGBP,100,100,100,100,100,0
EURGBP,EURNZD,43.2,40.4,-38.5,53.2,62.6,0
EURGBP,EURCAD,33.4,-24.4,-64.2,40,60.4,0
EURGBP,USDCHF,-51.5,33.2,61.9,19.8,24.1,0
EURGBP,USDCAD,-22.5,-17.4,8.2,37.4,51.1,0
EURNZD,EURUSD,29.4,-4.6,76.9,16.6,-49.7,0
EURNZD,NZDUSD,-24.9,-68.7,-73,-61.4,-86.1,0
EURNZD,GBPUSD,15.5,-27.9,72.3,-5.4,-67,0
EURNZD,AUDUSD,-29.3,-65.8,-77.4,-47.6,-73.7,0
EURNZD,CADJPY,-64.2,-38.8,55.8,-2.7,-51.8,0
EURNZD,NZDJPY,-58.6,-67.8,-44.8,-31.4,-79.5,0
EURNZD,EURJPY,-20,-25.2,89.2,16.8,-43.9,0
EURNZD,CHFJPY,-4.5,-16.9,90.7,10,-21.4,0
EURNZD,GBPJPY,-33.3,-50.9,88.7,4.4,-54.5,0
EURNZD,AUDJPY,-51.5,-58.2,-31.3,-22.2,-61.4,0
EURNZD,CADCHF,-89.4,-44.4,-63.2,-29,-69.1,0
EURNZD,NZDCHF,-92.3,-89,-96.7,-88.9,-93.1,0
EURNZD,GBPCHF,-62.2,-71.7,32.8,-16.5,-73.5,0
EURNZD,AUDCHF,-72.4,-68.3,-79.1,-61.2,-77.4,0
EURNZD,NZDCAD,-5.2,-54.6,-84.7,-72.9,-77.5,0
EURNZD,AUDCAD,-26.5,-71.1,-80.3,-48.1,-53.6,0
EURNZD,EURCHF,-51.9,-30.7,-3.6,33.8,-48.9,0
EURNZD,AUDNZD,-31.2,-35.8,-15.1,35.9,3.7,0
EURNZD,GBPCAD,57.7,5,69.8,22.7,-26.6,0
EURNZD,USDJPY,-74.1,-22.2,43.6,6.3,-7.8,0
EURNZD,GBPNZD,76.5,62.7,97.2,89.2,53,0
EURNZD,GBPAUD,63.2,52.7,83.6,57.5,59.9,0
EURNZD,EURAUD,76.7,74.9,86.3,80.9,68.9,0
EURNZD,EURGBP,43.2,40.4,-38.5,53.2,62.6,0
EURNZD,EURNZD,100,100,100,100,100,0
EURNZD,EURCAD,77.9,43.6,77.2,56.4,58.5,0
EURNZD,USDCHF,-54.1,-12.3,-66.5,-1.7,19.2,0
EURNZD,USDCAD,29.3,47.2,-22.8,20.9,58.8,0
EURCAD,EURUSD,63.8,53.3,89,36.6,-62.5,0
EURCAD,NZDUSD,22,10.4,-25.1,-13,-70.1,0
EURCAD,GBPUSD,56.8,55.4,90,17.2,-74.2,0
EURCAD,AUDUSD,9.5,-32.8,-67.7,-12.3,-77.6,0
EURCAD,CADJPY,-40.6,-72.4,7.1,-0.5,-85.8,0
EURCAD,NZDJPY,-17.2,-48.1,-36.9,5.7,-77,0
EURCAD,EURJPY,18.7,-35.3,67.3,33.8,-70.8,0
EURCAD,CHFJPY,29,-22.5,77.9,34.8,-57.5,0
EURCAD,GBPJPY,7.3,-23.3,76.8,23.1,-70.8,0
EURCAD,AUDJPY,-16,-58.8,-53.9,6.7,-73.5,0
EURCAD,CADCHF,-89.3,-91.6,-93.3,-82.5,-80.4,0
EURCAD,NZDCHF,-59,-55,-82.4,-56.8,-51.7,0
EURCAD,GBPCHF,-28.1,-11,30.1,-30.3,-58.3,0
EURCAD,AUDCHF,-41.7,-66.9,-86,-51.1,-64.3,0
EURCAD,NZDCAD,58.4,51.6,-31.6,15.4,5.8,0
EURCAD,AUDCAD,19.6,-26,-66.5,17.9,-24.7,0
EURCAD,EURCHF,-10.7,-47.5,-34.9,5.2,-22.2,0
EURCAD,AUDNZD,-11.3,-65.3,-52,2.8,-31.4,0
EURCAD,GBPCAD,85.5,81.6,95.8,77.4,12.3,0
EURCAD,USDJPY,-63.9,-74.7,-0.6,11.5,-29.7,0
EURCAD,GBPNZD,59.8,62.7,83.9,44.9,5.1,0
EURCAD,GBPAUD,40.6,71.8,89.6,39,54.4,0
EURCAD,EURAUD,50.9,67.8,87.3,56.6,64.9,0
EURCAD,EURGBP,33.4,-24.4,-64.2,40,60.4,0
EURCAD,EURNZD,77.9,43.6,77.2,56.4,58.5,0
EURCAD,EURCAD,100,100,100,100,100,0
EURCAD,USDCHF,-77.4,-76.1,-86.9,-26.4,43.5,0
EURCAD,USDCAD,3.3,38.2,-11.5,29.1,84.8,0
USDCHF,EURUSD,-94.1,-84.9,-94.8,-96.6,-87,0
USDCHF,NZDUSD,-65.8,-54,1.9,-76,-61.9,0
USDCHF,GBPUSD,-82.7,-84.9,-93.8,-93.2,-69.5,0
USDCHF,AUDUSD,-55.8,-14.5,63.7,-70.9,-59.1,0
USDCHF,CADJPY,-8.6,38,-1.8,41.3,-53.5,0
USDCHF,NZDJPY,-25,8.9,37.9,29.6,-45.3,0
USDCHF,EURJPY,-57.8,3.7,-55.3,29.9,-52.8,0
USDCHF,CHFJPY,-67,-14,-73.1,12.7,-69.1,0
USDCHF,GBPJPY,-39.2,-15.5,-65.7,23.7,-44,0
USDCHF,AUDJPY,-28.5,19.9,66.7,37,-39.4,0
USDCHF,CADCHF,56.4,69.5,92.3,67.6,0.4,0
USDCHF,NZDCHF,27.9,26.3,78.8,40.5,6.7,0
USDCHF,GBPCHF,19.9,-8.3,-6.5,53.1,5.8,0
USDCHF,AUDCHF,0.8,32.8,91.4,49.1,-0.2,0
USDCHF,NZDCAD,-54.4,-58.9,26.6,-19.6,10.4,0
USDCHF,AUDCAD,-50.4,-9.3,76.7,-5.6,-0.8,0
USDCHF,EURCHF,-21,35.4,59,79.1,48.6,0
USDCHF,AUDNZD,-32.3,32.8,70.4,19.4,-9.2,0
USDCHF,GBPCAD,-52.4,-70.8,-85.5,-41.1,8.2,0
USDCHF,USDJPY,47.4,65.5,24.1,65.3,17,0
USDCHF,GBPNZD,-21,-39.5,-73.6,-12.5,-2.9,0
USDCHF,GBPAUD,10.4,-39.8,-89.8,-24,10.6,0
USDCHF,EURAUD,-8.4,-29.2,-88.2,-14,20.7,0
USDCHF,EURGBP,-51.5,33.2,61.9,19.8,24.1,0
USDCHF,EURNZD,-54.1,-12.3,-66.5,-1.7,19.2,0
USDCHF,EURCAD,-77.4,-76.1,-86.9,-26.4,43.5,0
USDCHF,USDCHF,100,100,100,100,100,0
USDCHF,USDCAD,55.2,19.2,49.2,81.8,77.4,0
USDCAD,EURUSD,-74.8,-57.8,-55.3,-78.4,-94.4,0
USDCAD,NZDUSD,-91.9,-72.8,-24.4,-78.4,-88.9,0
USDCAD,GBPUSD,-72.6,-33.9,-45.6,-83.7,-89.4,0
USDCAD,AUDUSD,-93.9,-89.7,6,-77.2,-83.9,0
USDCAD,CADJPY,-81.2,-73.8,-27.7,39.1,-82.3,0
USDCAD,NZDJPY,-83,-80.6,-3.1,35.1,-78.6,0
USDCAD,EURJPY,-85.3,-76.1,-27.9,46.7,-73.1,0
USDCAD,CHFJPY,-79.1,-66.3,-29.8,33.8,-64.5,0
USDCAD,GBPJPY,-75.4,-70.9,-26.6,35.7,-68.3,0
USDCAD,AUDJPY,-86.2,-82,18.3,40.3,-66.6,0
USDCAD,CADCHF,-37.6,-57.1,12.1,12.8,-62.9,0
USDCAD,NZDCHF,-55.7,-66.8,24.6,10.4,-46.7,0
USDCAD,GBPCHF,-36.1,-35.4,-1.6,26,-44.8,0
USDCAD,AUDCHF,-75.9,-76.9,31.3,16.5,-47.3,0
USDCAD,NZDCAD,-34.4,-8.6,24.3,-0.7,-6.3,0
